"Store","Department","Recipe Name","Old Price","New Price","Selling","New GP"
"Springbok Superspar","Sushi","RECIPE MAKI PRAWN",0.39786322801766905,0.4101266890102711,0.0,0,
"Springbok Superspar","Sushi","COMBO  1 PRAWN",42.25248527270193,42.30252019355174,64.99,25.145563590422366,
"Springbok Superspar","Sushi","RECIPE FASHION SANDWICH (AVO)",0.7373023588902521,0.7639827218945747,0.0,0,
"Springbok Superspar","Sushi","GO GREEN AVO SUSHI",29.631798127008576,29.849509889123848,99.99,65.66963059056663,
"Springbok Superspar","Sushi","COMBO 12 Salmon",70.01534193731551,70.12419781837313,199.99,59.676570082939605,
"Springbok Superspar","Sushi","COMBO  1 ASSORTED Crab & Avo",14.849097023099699,14.903524963628517,84.99,79.83403493567151,
"Springbok Superspar","Sushi","COMBO  1 AVO",10.356490110751091,10.465345991808727,45.0,73.25522690982214,
"Springbok Superspar","Sushi","RECIPE PRAWN",7.314945378151261,7.461244285714287,0.0,0,
"Springbok Superspar","Sushi","RECIPE RAINBOW ROLL PRAWN",0.6127641428047891,0.6135102672333606,0.0,0,
"Springbok Superspar","Sushi","RECIPE PRAWN ROSES",0.6552067123209292,0.6566989611780722,0.0,0,
"Springbok Superspar","Sushi","COMBO  2  PRAWN",43.78711342421499,43.790157611883565,119.99,58.03093486651713,
"Springbok Superspar","Sushi","RECIPE CALIFORNIA ROLL PRAWN",0.5876760085190748,0.588142336286932,0.0,0,
"Springbok Superspar","Sushi","COMBO  2  PRAWN",43.790157611883565,43.79206022917642,119.99,58.02911137298702,
"Springbok Superspar","Sushi","COMBO  1 PRAWN",42.30252019355174,42.3044228108446,64.99,25.142196903413925,
"Springbok Superspar","Sushi","RECIPE NIGIRI PRAWN",0.4382597793150601,0.4390059037436315,0.0,0,
"Springbok Superspar","Sushi","COMBO  2  PRAWN",43.79206022917642,43.7935823230107,119.99,58.02765257816292,
"Springbok Superspar","Sushi","COMBO  1 PRAWN",42.3044228108446,42.30670595159603,64.99,25.13815687900379,
"Springbok Superspar","Sushi","RECIPE FASHION SANDWICH PRAWN ",8.61878888797253,8.623265634543959,0.0,0,
"Springbok Superspar","Sushi","SUPER PLATTER",77.66193759785526,77.69846784987813,0.0,0,
"Springbok Superspar","Sushi","COMBO  2  PRAWN",43.7935823230107,43.79814860451356,119.99,58.023276193690656,
"Springbok Superspar","Sushi","COMBO  1 PRAWN",42.30670595159603,42.32497107760746,64.99,25.10583668372276,
"Springbok Superspar","Sushi","RECIPE BEAN CURD (PRAWN)",14.040101667052824,14.041593915909965,0.0,0,
"Springbok Superspar","Sushi","COMBO  2  PRAWN",43.79814860451356,43.80119279218213,119.99,58.020358604042464,
"Springbok Superspar","Sushi","RECIPE MAKI PRAWN",0.4101266890102711,0.4107795478852711,0.0,0,
"Springbok Superspar","Sushi","COMBO  1 PRAWN",42.32497107760746,42.32763474181746,64.99,25.101123321910933,
"Springbok Superspar","Sushi","RECIPE GEBRAAIDE SESAME SEEDS",47.78191489361702,48.73755319148936,0.0,0,
"Springbok Superspar","Sushi","RECIPE  BAMBOO (4)",2.3383800208219108,2.339354771885741,0.0,0,
"Springbok Superspar","Sushi","COMBO 10",53.104042998327095,53.10801998266752,145.99,58.165475046189705,
"Springbok Superspar","Sushi","RECIPE SALMON ROSES",4.599097234607064,4.599340922373021,0.0,0,
"Springbok Superspar","Sushi","COMBO  8",98.77823695730987,98.77898264187371,224.99,49.5107204595072,
"Springbok Superspar","Sushi","COMBO  5",32.608330123763054,32.609075808326885,99.99,62.49581240166425,
"Springbok Superspar","Sushi","COMBO  6",42.315744130958215,42.316241254000765,99.99,51.331455703469466,
"Springbok Superspar","Sushi","COMBO  9",41.53737507661513,41.53836932270023,109.99,56.56957476033707,
"Springbok Superspar","Sushi","COMBO 10",53.10801998266752,53.109014228752635,145.99,58.16469185350673,
"Springbok Superspar","Sushi","COMBO 11",59.34189958519652,59.34339095432419,184.99,63.10887096736428,
"Springbok Superspar","Sushi","VALENTINE'S PLATTER",104.32690381610242,104.3278980621875,200.0,40.01145861424219,
"Springbok Superspar","Sushi","COMBO  4 Salmon",58.021638912585466,58.02263315867057,109.99,39.33445937587858,
"Springbok Superspar","Sushi","COMBO 12 Salmon",70.12419781837313,70.12568918750081,199.99,59.67571250281218,
"Springbok Superspar","Sushi","LARGE PLATTER for TWO",117.48697784336163,117.48797208944673,179.99,24.934069724504855,
"Springbok Superspar","Sushi","RECIPE CALIFORNIA ROLL (BILTONG)",1.4879465357981065,1.488555755213,0.0,0,
"Springbok Superspar","Sushi","RECIPE SANDWICH BILTONG",0.898605425490124,0.8992146449050177,0.0,0,
"Springbok Superspar","Sushi","COMBO 2 BILTONG",28.3588772187904,28.36136283400317,84.99,61.62422960453742,
"Springbok Superspar","Sushi","SUPER PLATTER",77.69846784987813,77.70343908030364,0.0,0,
"Springbok Superspar","Sushi"," COMBO 1 (BILTONG)",22.12203979488091,22.12452541009368,59.99,57.58759089580309,
"Springbok Superspar","Sushi","CRABSTICK SALAD ",41.696200393633994,40.37431120838847,119.99,61.304727152557106,
"Springbok Superspar","Sushi","RECIPE FASHION SANDWICH (CRABSTICK)",0.9368639993758504,0.9380824382056376,0.0,0,
"Springbok Superspar","Sushi","COMBO  1 ASSORTED Crab & Avo",14.903524963628517,14.906010578841283,84.99,79.83067164882048,
"Springbok Superspar","Sushi","COMBO  1 CRABSTICK",12.631729135448309,12.636700365873839,45.0,67.70621017610019,
"Springbok Superspar","Sushi","RECIPE FASHION SANDWICH  (SALMON)",2.558772171894575,2.559381391309468,0.0,0,
"Springbok Superspar","Sushi","COMBO  5",32.609075808326885,32.61156142353965,99.99,62.492953658295235,
